,Street,City,State,Zipcode,Neighbourhood,Subdivision,Price,Zestimate,Bedroom,Bathroom,Year_Built,Longitude,Latitude,Living_Area(Sqft),Home_Type,Lot_Size(Sqft),HOA_Per_Month,Brokerage,Last_Sold_Price,Zpid,Home_Status,hasHeating,hasCooling,hasFireplace,laundryFeatures,furnished,buildingArea,parking,hasGarage,garageSpaces,hasOpenParking,hasCarport,levels,hasPrivatePool,hasSpa,hasView,frontageType,architecturalStyle,roofType,propertyCondition,isNewConstruction,developmentStatus,hasHomeWarranty,hasElectricOnProperty,greenBuildingVerificationType,hasPetsAllowed,hasRentControl,securityFeatures,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Event,Date,Agent_Name,Agent_Phone_No.,Posting_Group_Name,First_Nearby_School_Name,First_Nearby_School_Rating,Second_Nearby_School_Name,Second_Nearby_School_Rating,Third_Nearby_School_Name,Third_Nearby_School_Rating
10,2133 Spaulding Ave,Berkeley,CA,94703,,,1495000,1186257.0,5.0,3.0,1949.0,-122.280305,37.868196,2045.0,SINGLE_FAMILY,6459.0,,COMPASS,1150000.0,24836732,FOR_SALE,True,True,True,Laundry Room,False,,,True,2.0,False,False,,,,,,,Composition,Existing,False,,False,,,,False,,False,False,False,1495000.0,Listed for sale,2020-09-22,Jodi Nishimura,510-982-4400,COMPASS,Washington Elementary School,6,Willard Middle School,9,Berkeley High School,8
11,2001 18th Ave,San Francisco,CA,94116,,,899000,,2.0,1.5,1940.0,-122.475355,37.750403,1040.0,SINGLE_FAMILY,1437.0,,AVA Realty,,15115643,FOR_SALE,True,True,True,,False,,,,,False,False,,,,True,,,Composition,,False,,False,,,,False,,False,False,False,899000.0,Listed for sale,2020-09-23,Sam Fini,415-349-4355,AVA Realty,Clarendon Alternative Elementary School,9,Hoover (Herbert) Middle School,7,Lincoln (Abraham) High School,7
12,1345 Vancouver Ave,Burlingame,CA,94010,,,2795000,2710311.0,4.0,2.0,1921.0,-122.37393188476562,37.582130432128906,1850.0,SINGLE_FAMILY,5998.0,,,2335000.0,15514935,FOR_SALE,True,True,True,,False,,4.0,True,4.0,False,False,,False,False,False,,,Composition,,False,,False,,,False,False,,False,False,False,2795000.0,Listed for sale,2020-07-17,Jimmy Lam,415-862-8888,,Roosevelt Elementary School,7,Burlingame Intermediate School,8,Burlingame High School,10
13,2804 Dominici Dr,Fremont,CA,94536,,,1249000,1257718.0,3.0,2.0,1986.0,-122.01571655273438,37.5750732421875,1671.0,SINGLE_FAMILY,8032.0,,Intempus Realty,773000.0,25014395,FOR_SALE,True,True,True,"In Garage,Washer / Dryer",False,,0.0,False,0.0,False,False,,,False,False,,,Tile,,False,,False,,,False,False,,False,False,False,1249000.0,Listed for sale,2020-09-24,Dan Kozakevich,408-817-0026,Intempus Realty,Brookvale Elementary School,8,Thornton Junior High School,8,American High School,10
14,610 Los Trancos Rd,Palo Alto,CA,94304,,,53888000,9150160.0,5.0,11.0,2008.0,-122.19930267333984,37.368350982666016,12657.0,SINGLE_FAMILY,583704.0,,Compass,5982000.0,64706362,FOR_SALE,True,True,True,,False,,6.0,True,6.0,False,False,,True,True,True,,,,,False,,False,,,False,False,,False,False,False,53888000.0,Listed for sale,2020-08-18,Samira Amid-Hozour,650-868-1577,Compass,Lucille M. Nixon Elementary School,8,Terman Middle School,8,Henry M. Gunn High School,9
15,18645 Ralya Ct,Cupertino,CA,95014,,,1680000,1694672.0,3.0,2.0,1954.0,-121.998079,37.319854,1127.0,SINGLE_FAMILY,5871.0,,Keller Williams Realty- Silicon Valley,533500.0,19644278,FOR_SALE,True,True,True,,False,,,True,1.0,False,False,,,,,,,Composition,,False,,False,,,,False,,False,False,False,1680000.0,Price change,2020-05-02,Coco Tan,408-626-9800,Keller Williams Realty- Silicon Valley,D. J. Sedgwick Elementary School,8,Warren E. Hyde Middle School,8,Cupertino High School,9
16,1253 Shoal Dr,San Mateo,CA,94404,,,1695000,1716156.0,3.0,3.0,1974.0,-122.29190826416016,37.5634765625,1690.0,SINGLE_FAMILY,3223.0,150.0,Intero Real Estate Services,702000.0,15532436,FOR_SALE,True,True,True,,False,,0.0,False,0.0,False,False,,True,False,True,,,Composition,,False,,False,,,False,False,,False,False,False,1695000.0,Listed for sale,2020-09-15,James Shin,650-862-7332,Intero Real Estate Services,LEAD Elementary,2,Bayside Academy,5,Aragon High School,9
17,11 Mckillop Ct,Santa Clara,CA,95050,,,899999,914801.0,2.0,1.0,1940.0,-121.932252,37.343601,800.0,SINGLE_FAMILY,3319.0,,Coldwell Banker Realty,420000.0,19558253,FOR_SALE,True,True,,,False,,,True,1.0,False,False,,,,,,,Composition,,False,,False,,,,False,,False,False,False,899999.0,Price change,2020-09-04,Ted Toffey,408-448-4488,Coldwell Banker Realty,Westwood Elementary School,8,Buchser Middle School,5,Santa Clara High School,8
18,451 Donner Way,San Ramon,CA,94582,,,1199888,1206433.0,4.0,3.0,1988.0,-121.9442138671875,37.78291702270508,2608.0,SINGLE_FAMILY,5749.0,225.0,Valley Brokers on Main,0.0,18455301,FOR_SALE,True,True,True,"In Laundry Room,In Unit,Inside Room",False,,2.0,True,2.0,False,False,,,False,True,,,Tile,,False,,False,,,False,False,,False,False,False,1199888.0,Listed for sale,2020-09-04,Brian Wright,925-580-4524,Valley Brokers on Main,Golden View Elementary School,9,Iron Horse Middle School,9,California High School,9
19,145 April Ave,South San Francisco,CA,94080,,,1574000,,4.0,4.0,1956.0,-122.44676,37.656194,2500.0,SINGLE_FAMILY,5501.0,,Coldwell Banker Realty,1100000.0,15480341,FOR_SALE,True,True,True,,False,,,,,False,False,,,,,,,Composition,,False,,False,,,,False,,False,False,False,1574000.0,Price change,2020-09-18,Dan Moskowitz,408-355-1500,Coldwell Banker Realty,Buri Buri Elementary School,6,Alta Loma Middle School,5,El Camino High School,7
20,769 Crescent Ave,San Mateo,CA,94402,,,2150000,2227681.0,5.0,3.0,1925.0,-122.345359,37.570912,2970.0,SINGLE_FAMILY,6146.0,,Compass,,15521019,FOR_SALE,True,True,True,,False,,,,,False,False,,,,,,,Composition,,False,,False,,,,False,,False,False,False,2150000.0,Listed for sale,2020-09-24,Susan Herman,650-446-9830,Compass,San Mateo Park Elementary School,3,Borel Middle School,6,San Mateo High School,7
21,30842 Canterbury Way,Union City,CA,94587,,,1197888,1239830.0,4.0,3.0,1997.0,-122.085815,37.596733,2070.0,SINGLE_FAMILY,4704.0,,"Bay Area Homes, Inc.",281000.0,24996314,FOR_SALE,True,True,True,,False,,,True,2.0,False,False,,False,False,,,,Tile,,False,,False,,,,False,,False,False,False,1197888.0,Listed for sale,2020-08-26,Steven Guernsey,510-304-7959,"Bay Area Homes, Inc.",Delaine Eastin Elementary School,8,Alvarado Middle School,5,James Logan high school,7
22,168 Dorantes Ave,San Francisco,CA,94116,,,2575000,2703864.0,4.0,3.5,1932.0,-122.464557,37.745457,3216.0,SINGLE_FAMILY,4499.0,68.0,Berkshire Hathaway-Franciscan,1600000.0,15133182,FOR_SALE,True,True,True,,False,,,,,False,False,,,,True,,,,,False,,False,,,,False,,False,False,False,2575000.0,Listed for sale,2020-09-24,Andrew Herrera II,415-664-9400,Berkshire Hathaway-Franciscan,West Portal Elementary School,8,Hoover (Herbert) Middle School,7,Academy Of Arts And Sciences,5
23,4269 Oak Knoll Dr,Dublin,CA,94568,,,1485000,1341823.0,4.0,3.0,2017.0,-121.876478,37.735044,2944.0,SINGLE_FAMILY,4364.0,235.0,Reliance Bay Realty,1228500.0,241573249,FOR_SALE,True,True,True,,False,,,True,2.0,False,False,,True,True,,,,Other,,False,,False,,,,False,,False,False,False,1521000.0,Listed for sale,2020-09-22,Hamid Zahir,760-891-8040,Reliance Bay Realty,James Dougherty Elementary School,9,Wells Middle School,6,Dublin High School,9
24,1960 San Antonio Ave,Berkeley,CA,94707,,,5995000,,7.0,7.0,1912.0,-122.27580261230469,37.89888381958008,12000.0,SINGLE_FAMILY,130680.0,,,,2131039497,FOR_SALE,True,True,True,"Dryer,In Closet,Washer",False,,2.0,True,2.0,False,False,,,False,True,,,Other,,False,,False,,,False,False,,False,False,False,5995000.0,Price change,2019-03-10,Herman Chan,415-787-3450,,Jefferson Elementary School,8,Martin Luther King Middle School,8,Berkeley High School,8
25,19884 Wheaton Dr,Cupertino,CA,95014,,,2677000,2612752.0,5.0,3.0,1968.0,-122.020981,37.324329,2492.0,SINGLE_FAMILY,7422.0,,Intero Real Estate Services,,19618953,FOR_SALE,True,True,True,,False,,,True,2.0,False,False,,True,,,,,Composition,,False,,False,,,,False,,False,False,False,2677000.0,Listed for sale,2020-09-23,Hiep Nguyen,650-947-4700,Intero Real Estate Services,L. P. Collins Elementary School,9,Sam H. Lawson Middle School,8,Cupertino High School,9
26,2281 Doccia Ct,Pleasanton,CA,94566,,,1928000,1976851.0,5.0,3.0,1997.0,-121.818603515625,37.640777587890625,3396.0,SINGLE_FAMILY,9151.0,240.0,BHG Reliance Partners,1176000.0,25087481,FOR_SALE,True,True,True,"In Laundry Room,Gas Dryer Hookup,Hookups Only",False,,2.0,True,2.0,False,False,,,False,False,,,Tile,,False,,False,,,False,False,,False,False,False,1928000.0,Price change,2020-09-15,Cindy Gee,925-963-1984,BHG Reliance Partners,Valley View Elementary School,6,Pleasanton Middle School,8,Amador Valley High School,9
27,2090 Del Monte Ave,Santa Clara,CA,95051,,,1198000,1261316.0,3.0,2.0,1964.0,-121.99555969238281,37.36088562011719,1474.0,SINGLE_FAMILY,5741.0,,Compass,,19554439,FOR_SALE,True,True,True,"Washer / Dryer,Inside",False,,2.0,True,2.0,False,False,,,False,False,,,,,False,,False,,,False,False,,False,False,False,1198000.0,Listed for sale,2020-09-22,Shirley Bailey,650-209-1580,Compass,Briarwood Elementary School,6,Juan Cabrillo Middle School,6,Adrian Wilcox High School,7
28,43591 Euclid Dr,Fremont,CA,94539,,,2150000,2166044.0,5.0,3.0,1988.0,-121.9369888305664,37.520599365234375,2810.0,SINGLE_FAMILY,8102.0,,"Timothy Crofton, Inc.",950000.0,25023749,FOR_SALE,True,True,True,"In Laundry Room,220 Volt Outlet",False,,3.0,True,3.0,False,False,,,False,True,,,Tile,,False,,False,,,False,False,,False,False,False,2150000.0,Listed for sale,2020-09-22,Timothy Crofton,510-673-0038,"Timothy Crofton, Inc.",Mission Valley Elementary School,9,William Hopkins Junior High School,9,Mission San Jose High School,10
29,18811 Loree Ave,Cupertino,CA,95014,,,1648000,1701090.0,5.0,3.0,1952.0,-122.001018,37.319922,1257.0,SINGLE_FAMILY,5614.0,,Compass,550000.0,19643832,FOR_SALE,True,True,True,,False,,,True,1.0,False,False,,,,,,,Composition,,False,,False,,,,False,,False,False,False,1648000.0,Listed for sale,2020-09-09,Kei Group,650-314-7200,Compass,D. J. Sedgwick Elementary School,8,Warren E. Hyde Middle School,8,Cupertino High School,9
30,209 Sunnyhills Ct,Milpitas,CA,95035,,,741200,741707.0,3.0,2.0,1992.0,-121.90969848632812,37.454673767089844,1044.0,CONDO,2178.0,310.0,,188000.0,19473356,FOR_SALE,True,True,True,Washer / Dryer,False,,2.0,True,2.0,False,False,,False,False,True,,,Tile,,False,,False,,,False,False,,False,False,False,741200.0,Price change,2020-09-01,Arnold Jee,408-644-9946,,Joseph Weller Elementary School,7,Thomas Russell Middle School,10,Milpitas High School,10
31,3561 Park Blvd,Palo Alto,CA,94306,,,2700000,2744287.0,4.0,4.0,2020.0,-122.13129425048828,37.422176361083984,2200.0,SINGLE_FAMILY,4909.0,,"Francine Terrell, Broker",980000.0,19503537,FOR_SALE,True,True,False,,False,,1.0,True,1.0,False,False,,False,False,False,,,Other,,False,,False,,,False,False,,False,False,False,2700000.0,Price change,2020-09-17,Francine Terrell,408-202-5875,"Francine Terrell, Broker",Barron Park Elementary School,7,Terman Middle School,8,Henry M. Gunn High School,9
32,"RESIDENCE ONE X Plan, The Preserve   Hillcrest",San Ramon,CA,94583,,The Preserve   Hillcrest,890880,,3.0,4.0,2020.0,-121.993,37.7798,1822.0,TOWNHOUSE,,,Lennar,,2077732617,FOR_SALE,,,,,False,,,False,0.0,False,False,,,,,,,,,True,,False,,,,False,,True,False,False,,,,,,,Twin Creeks Elementary School,8,Iron Horse Middle School,9,California High School,9
33,39662 Buena Vista Ter,Fremont,CA,94538,,,739888,760212.0,2.0,2.0,1978.0,-121.9795913696289,37.542686462402344,1257.0,SINGLE_FAMILY,3275.0,34.0,,50000.0,25010766,FOR_SALE,True,True,True,In Unit,False,,2.0,True,2.0,False,False,,,False,False,,,Shake / Shingle,,False,,False,,,False,False,,False,False,False,739888.0,Price change,2020-09-05,James Berson,925-202-5557,,Brier Elementary School,7,G. M. Walters Junior High School,7,John F. Kennedy High School,7
34,3 Sunrise Ct,South San Francisco,CA,94080,,,1188000,1206180.0,3.0,3.0,1995.0,-122.44801330566406,37.6416015625,1900.0,SINGLE_FAMILY,2130.0,130.0,Coldwell Banker Realty,768000.0,15609059,FOR_SALE,True,True,True,,False,,2.0,True,2.0,False,False,,,False,True,,,Composition,,False,,False,,,False,False,,False,False,False,1188000.0,Price change,2020-09-22,Edmund Leung,800-738-8338,Coldwell Banker Realty,Monte Verde Elementary School,9,Westborough Middle School,8,South San Francisco High School,6
35,3225 Overbrook Dr,San Jose,CA,95118,,,1088000,1145363.0,3.0,2.0,1961.0,-121.891604,37.271576,1904.0,SINGLE_FAMILY,6390.0,,Realcom Associates,350000.0,19697089,FOR_SALE,True,True,True,,False,,,,,False,False,,False,False,True,,,Composition,,False,,False,,,,False,,False,False,False,1088000.0,Listed for sale,2020-09-22,Lauson Fargher,408-244-7785,Realcom Associates,Reed Elementary School,7,John Muir Middle School,5,Pioneer High School,8
36,1098 Keith Ave,Berkeley,CA,94708,,,1489000,1542766.0,4.0,3.0,1923.0,-122.26202392578125,37.889976501464844,1933.0,SINGLE_FAMILY,4351.0,,Compass,950000.0,24849450,FOR_SALE,True,True,True,Hookups Only,False,,1.0,True,1.0,False,False,,,False,False,,,,,False,,False,,,False,False,,False,False,False,1489000.0,Listed for sale,2020-09-09,Cristian Hernandez,415-819-2554,Compass,Washington Elementary School,6,Martin Luther King Middle School,8,Berkeley High School,8
37,2341 Roosevelt Ave,Berkeley,CA,94703,,,1195000,1266474.0,3.0,3.0,1903.0,-122.27541,37.865191,2176.0,SINGLE_FAMILY,6481.0,,COMPASS,215500.0,24834804,FOR_SALE,True,True,,,False,,,True,1.0,False,False,,,,,,,Composition,Existing,False,,False,,,,False,,False,False,False,1195000.0,Listed for sale,2020-09-17,Janet Lucas,510-470-9114,COMPASS,Washington Elementary School,6,Willard Middle School,9,Berkeley High School,8
38,1883 Agnew Rd UNIT 436,Santa Clara,CA,95054,,,899800,916711.0,3.0,2.0,2006.0,-121.958336,37.396111,1361.0,CONDO,435.0,411.0,Intero Real Estate Services,594000.0,79842178,FOR_SALE,True,True,,,False,,,,,False,False,,True,True,,,,Tile,,False,,False,,,,False,,False,False,False,899800.0,Listed for sale,2020-09-21,Fred Soltanzad,408-342-3000,Intero Real Estate Services,Don Callejon School,6,Santa Clara High School,8,,
39,35935 Killorglin Cmn,Fremont,CA,94536,,,1100000,1134504.0,3.0,3.0,1989.0,-121.996626,37.58293,1460.0,SINGLE_FAMILY,3497.0,66.0,Intero Real Estate Services,297000.0,25020590,FOR_SALE,True,True,True,,False,,,True,2.0,False,False,,,,True,,,Tile,,False,,False,,,,False,,False,False,False,1100000.0,Listed for sale,2020-09-18,Sonya Johl,510-651-6500,Intero Real Estate Services,Niles Elementary School,8,Centerville Junior High,7,Washington High School,9
40,56 Pulido Ct,Danville,CA,94526,,,1499000,1546882.0,4.0,3.0,1973.0,-121.97648620605469,37.843116760253906,2890.0,SINGLE_FAMILY,12000.0,,Redfin,1327000.0,18428508,FOR_SALE,True,True,True,In Garage,False,,2.0,True,2.0,False,False,,False,False,True,,,Composition,,False,,False,,,False,False,,False,False,False,1499000.0,Listed for sale,2020-09-17,Valerie Ruby,925-858-2807,Redfin,Green Valley Elementary School,9,Los Cerros Middle School,9,Monte Vista High School,10
41,665 Palomino Dr #A,Pleasanton,CA,94566,,,605000,660871.0,2.0,2.0,1985.0,-121.856549,37.660463,1198.0,TOWNHOUSE,1520.0,440.0,"J. Rockcliff, REALTORS®",345000.0,25077031,FOR_SALE,True,True,True,,False,,,True,1.0,False,False,,,,,,,Tile,,False,,False,,,,False,,False,False,False,605000.0,Listed for sale,2020-09-24,Lisa Ferraris,925-855-4000,"J. Rockcliff, REALTORS®",Vintage Hills Elementary School,9,Pleasanton Middle School,8,Amador Valley High School,9
42,7648 Stoneleaf Rd,San Ramon,CA,94582,,,869000,869005.0,3.0,3.0,2009.0,-121.91908264160156,37.764339447021484,2228.0,CONDO,1423.0,230.0,,550000.0,95382684,FOR_SALE,True,True,True,"In Laundry Room,220 Volt Outlet,Dryer,Washer",False,,2.0,True,2.0,False,False,,,False,True,,,Tile,,False,,False,,,False,False,,False,False,False,869000.0,Price change,2020-09-04,Carol Peterson,925-855-3404,,Quail Run Elementary School,9,Gale Ranch Middle School,9,Dougherty Valley High School,10
43,"RESIDENCE FOUR Plan, The Preserve   Hillcrest",San Ramon,CA,94583,,The Preserve   Hillcrest,987880,,4.0,4.0,2020.0,-121.993,37.7798,2687.0,TOWNHOUSE,,,Lennar,,2077732619,FOR_SALE,,,,,False,,,True,2.0,False,False,,,,,,,,,True,,False,,,,False,,True,False,False,,,,,,,Twin Creeks Elementary School,8,Iron Horse Middle School,9,California High School,9
44,1200 W Winton Ave #233,Hayward,CA,94545,,,164000,,2.0,2.0,,-122.115723,37.652182,1120.0,MANUFACTURED,,,Simplified Realty,,2077734942,FOR_SALE,,,,,False,,,,,False,False,,,,,,,,,False,,False,,,,False,,False,False,False,164000.0,Listed for sale,2020-09-24,Aaron Unger,855-359-3517,Simplified Realty,Eden Gardens Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6
45,949 Ridgeview Ct UNIT B,South San Francisco,CA,94080,,,679000,679759.0,2.0,1.0,1979.0,-122.4239730834961,37.66692352294922,950.0,CONDO,87686.0,300.0,KW Peninsula Estates,560000.0,15620982,FOR_SALE,True,True,True,,False,,0.0,False,0.0,False,False,,False,False,True,,,,,False,,False,,,False,False,,False,False,False,679000.0,Listed for sale,2020-08-19,Herb Schmulewicz,650-784-1849,KW Peninsula Estates,Sunshine Gardens Elementary School,4,Parkway Heights Middle School,4,South San Francisco High School,6
46,1135 The Alameda,Berkeley,CA,94707,,,1295000,1545333.0,4.0,2.0,1920.0,-122.27559661865234,37.88677978515625,1805.0,SINGLE_FAMILY,7535.0,,RED OAK REALTY,0.0,24844984,FOR_SALE,True,True,True,,False,,2.0,True,2.0,False,False,,,False,False,,Traditional,,Existing,False,,False,,,False,False,,False,False,False,1295000.0,Listed for sale,2020-09-24,David and Devin Ratoosh,510-919-5499,RED OAK REALTY,Jefferson Elementary School,8,Martin Luther King Middle School,8,Berkeley High School,8
47,350 Panoramic Way,Berkeley,CA,94704,,,1300000,1310883.0,2.0,2.0,1937.0,-122.245861,37.869174,1439.0,SINGLE_FAMILY,3606.0,,Keller Williams Realty,,24834452,FOR_SALE,True,True,True,Laundry Room,False,,,True,2.0,False,False,,,,True,,,Other,Existing,False,,False,,,,False,,False,False,False,1300000.0,Listed for sale,2020-09-16,Eloise Middleton,510-775-1079,Keller Williams Realty,Malcolm X Elementary School,6,Willard Middle School,9,Berkeley High School,8
48,4132 Parma Ct,Pleasanton,CA,94566,,,4988000,5022367.0,5.0,7.0,2011.0,-121.80632781982422,37.633949279785156,8363.0,SINGLE_FAMILY,23801.0,240.0,Keller Williams Tri-Valley,4255000.0,111405450,FOR_SALE,True,True,True,"In Laundry Room,Other,Dryer,In Closet,Washer",False,,4.0,True,4.0,False,False,,True,True,True,,,Tile,,False,,False,,,False,False,,False,False,False,4988000.0,Listed for sale,2020-08-19,Armario Venema Homes Team,925-413-6544,Keller Williams Tri-Valley,Valley View Elementary School,6,Pleasanton Middle School,8,Amador Valley High School,9
49,27471 Ponderosa Ct,Hayward,CA,94545,,,626000,644014.0,3.0,2.0,1970.0,-122.09668731689453,37.62748336791992,1220.0,TOWNHOUSE,2051.0,268.0,Golden State Realty,170000.0,24989104,FOR_SALE,True,True,,"Dryer,In Closet,In Unit,Washer,Electric",False,,0.0,False,0.0,False,False,,,False,False,,,Composition,,False,,False,,,False,False,,False,False,False,626000.0,Listed for sale,2020-09-23,Jaswinder (jassi) Gill,510-304-9292,Golden State Realty,Lorin A. Eden Elementary School,3,Anthony W. Ochoa Middle School,4,Mount Eden High School,6
50,709 Kendall Ave,Palo Alto,CA,94306,,,4488000,4789427.0,5.0,4.0,2020.0,-122.13513946533203,37.4150505065918,2700.0,SINGLE_FAMILY,6499.0,,Homeland Mortgage and Real Estate,0.0,19505205,FOR_SALE,True,True,True,Inside,False,,1.0,True,1.0,False,False,,,False,False,,,Composition,,False,,False,,,False,False,"Fire Alarm,Security Lights,Closed Circuit Monitoring (24-hour),Video / Audio System",False,False,False,4488000.0,Price change,2020-09-23,Vivian Lee,408-641-1680,Homeland Mortgage and Real Estate,Barron Park Elementary School,7,Terman Middle School,8,Henry M. Gunn High School,9
51,40 Brookside Ave,Berkeley,CA,94705,,,2795000,2914868.0,6.0,4.0,1925.0,-122.24797,37.852066,4441.0,SINGLE_FAMILY,7618.0,,BERKSHIRE HATHAWAY-FRANCISCAN,,24850722,FOR_SALE,,True,True,Laundry Room,False,,,True,1.0,False,False,,,,,,,Tile,Existing,False,,False,,,,False,,False,False,False,2795000.0,Listed for sale,2020-09-24,Andrew de Vries,415-664-9400,BERKSHIRE HATHAWAY-FRANCISCAN,Malcolm X Elementary School,6,Willard Middle School,9,Berkeley High School,8
